Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
3.38,5,1.01033,1.02819,0.597814,0.433233,-0.00286171,0
3.39,5,1.00409,1.03713,0.598451,0.43443,0.00424472,0
3.4,5,1.00798,1.04125,0.599386,0.435628,0.00623479,0
3.41,5,1.01178,1.03175,0.598804,0.436826,-0.00388248,0
3.42,5,1.00924,1.03245,0.598233,0.438022,-0.00380759,0
3.43,5,1.01569,1.04038,0.598615,0.43922,0.00254687,0
3.44,5,1.01828,1.03161,0.597647,0.440415,-0.00645099,0
3.45,5,1.01946,1.03627,0.597258,0.44161,-0.00259476,0
3.46,5,1.02315,1.0387,0.597081,0.442804,-0.00118093,0
3.47,5,1.02101,1.03684,0.596527,0.443997,-0.00368754,0
3.48,5,1.02539,1.04418,0.596848,0.44519,0.00213992,0
3.49,5,1.01984,1.03819,0.596191,0.446383,-0.00438146,0
3.5,5,1.0191,1.05015,0.597024,0.447577,0.00555212,0
3.51,5,1.02368,1.04665,0.597135,0.448771,0.000740349,0
3.52,5,1.02044,1.04183,0.596448,0.449964,-0.0045799,0
3.53,5,1.02082,1.05133,0.596933,0.451158,0.00323578,0
3.54,5,1.02471,1.04885,0.596877,0.452352,-0.000377198,0
3.55,5,1.0206,1.04595,0.596294,0.453544,-0.00388741,0
3.56,5,1.02227,1.05576,0.596911,0.454738,0.00411221,0
3.57,5,1.02566,1.05092,0.59666,0.455931,-0.00167267,0
3.58,5,1.02787,1.04988,0.596151,0.457124,-0.00339277,0
3.59,5,1.03406,1.05192,0.595819,0.458315,-0.0022137,0
3.6,5,1.03448,1.04822,0.594892,0.459505,-0.00618024,0
3.61,5,1.03057,1.0551,0.594828,0.460695,-0.000424512,0
3.62,5,1.03216,1.06121,0.595415,0.461886,0.00391088,0
3.63,5,1.03355,1.05666,0.595176,0.463076,-0.00159338,0
3.64,5,1.03094,1.05785,0.594968,0.464266,-0.00138715,0
3.65,5,1.03746,1.06343,0.595359,0.465457,0.00261035,0
3.66,5,1.03738,1.05451,0.594382,0.466645,-0.00651616,0
3.67,5,1.03989,1.06231,0.594393,0.467834,7.845e-05,0
3.68,5,1.04013,1.06052,0.594016,0.469022,-0.00251805,0
3.69,5,1.03583,1.06395,0.59398,0.47021,-0.000237346,0
3.7,5,1.04135,1.07033,0.594626,0.471399,0.00430569,0
3.71,5,1.03419,1.06086,0.593797,0.472587,-0.00552562,0
3.72,5,1.037,1.07581,0.594871,0.473777,0.00715774,0
3.73,5,1.03492,1.06661,0.59445,0.474966,-0.0028046,0
3.74,5,1.0374,1.073,0.594762,0.476155,0.00208143,0
3.75,5,1.03882,1.06925,0.59439,0.477344,-0.00248286,0
3.76,5,1.03601,1.07129,0.594177,0.478532,-0.00141678,0
3.77,5,1.03843,1.07713,0.594599,0.479721,0.0028098,0
3.78,5,1.04374,1.07272,0.594235,0.48091,-0.00242702,0
3.79,5,1.03826,1.07023,0.593439,0.482097,-0.00530294,0
3.8,5,1.04141,1.08302,0.594261,0.483285,0.00547602,0
3.81,5,1.04822,1.07512,0.593789,0.484473,-0.00314463,0
3.82,5,1.0398,1.07161,0.592767,0.485658,-0.00681373,0
3.83,5,1.04715,1.08929,0.59403,0.486847,0.0084172,0
3.84,5,1.04488,1.07362,0.592928,0.488032,-0.00734296,0
3.85,5,1.04593,1.08475,0.593268,0.489219,0.00226438,0
3.86,5,1.04622,1.08247,0.593111,0.490405,-0.001048,0
3.87,5,1.04468,1.08437,0.593067,0.491591,-0.00028997,0
3.88,5,1.0488,1.08762,0.593299,0.492778,0.00154269,0
3.89,5,1.04601,1.08252,0.592679,0.493963,-0.00412763,0
3.9,5,1.05106,1.09104,0.593098,0.495149,0.00279333,0
3.91,5,1.04731,1.08363,0.592341,0.496334,-0.00504799,0
3.92,5,1.05428,1.09417,0.592903,0.49752,0.00374847,0
3.93,5,1.05429,1.08359,0.591857,0.498704,-0.00697409,0
